instance,dod,edod_target,edod_realised,seed,n_edges_blocked,n_triggered_edges,enabled_stages,wall_time_total_s,reroute_time_total_s,reroute_time_s1_s,reroute_time_s2_s,reroute_time_s3_s,reroute_avg_s1_s,reroute_avg_s2_s,reroute_avg_s3_s,reroute_avg_total_s,cost_static,cost_dynamic,cost_degradation_pct,wasted_distance,total_execution_time_min,reroute_count,reroutes_s1,reroutes_s2,reroutes_s3,utilisation_s1_pct,utilisation_s2_pct,utilisation_s3_pct,unserved_count,unserved_rate_pct,total_customers,unserved_stage3_fallback,capacity_violations,capacity_excess_pct,duration_violations,duration_excess_pct,fully_feasible,feasible_hard,feasible_soft,operation_verdict
p01,0.2,0.75,0.7373,153,7,1,"[1, 2, 3]",0.0261,0.004266,0.0,0.0,0.004162,0.0,0.0,0.004162,0.004266,611.4344770052209,657.2453914629697,7.4923669142977785,9.954139139299983,107.70954342201007,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.75,0.5887,264,7,0,"[1, 2, 3]",0.0179,7.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.75,0.7377,375,7,0,"[1, 2, 3]",0.0181,0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.75,0.7889,486,7,0,"[1, 2, 3]",0.0164,6.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.25,0.2592,42,15,7,"[1, 2, 3]",0.0434,0.024488,0.000817,0.00687,0.016652,0.000817,0.00229,0.005551,0.003498,611.4344770052209,789.6187294670267,29.142002808632,6.515728752538095,150.23792681892198,7,1,3,3,14.29,42.86,42.86,0,0.0,50,0,1,13.75,0,0.0,False,True,False,UNKNOWN
p01,0.4,0.25,0.1974,153,15,10,"[1, 2, 3]",0.0394,0.021679,0.000871,0.005215,0.015524,0.00029,0.001738,0.003881,0.002168,611.4344770052209,783.6014689678486,28.157880923871698,20.25240688471062,112.19474652099231,10,3,3,4,30.0,30.0,40.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.25,0.2049,264,15,11,"[1, 2, 3]",0.0351,0.015163,0.001551,0.0,0.013535,0.000222,0.0,0.003384,0.001378,611.4344770052209,809.1793971843588,32.34114653587803,25.85672163902605,119.73764793997262,11,7,0,4,63.64,0.0,36.36,0,0.0,50,0,1,7.5,0,0.0,False,True,False,UNKNOWN
p01,0.4,0.25,0.2171,375,15,8,"[1, 2, 3]",0.0284,0.012376,0.000815,0.003126,0.008347,0.000272,0.001563,0.002782,0.001547,611.4344770052209,885.2237864971827,44.77819288715445,15.901036357678024,163.9079893353663,8,3,2,3,37.5,25.0,37.5,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.25,0.3105,486,15,7,"[1, 2, 3]",0.0242,0.009018,0.000497,0.001869,0.006566,0.000248,0.000935,0.002189,0.001288,611.4344770052209,755.7593803639987,23.604312283087943,33.38676198455237,175.59146494999277,7,2,2,3,28.57,28.57,42.86,0,0.0,50,0,2,1.88,0,0.0,False,True,False,UNKNOWN
p01,0.4,0.5,0.4829,42,15,4,"[1, 2, 3]",0.0248,0.007787,0.001126,0.0,0.006538,0.000375,0.0,0.006538,0.001947,611.4344770052209,683.7096710543467,11.820595136068638,0.0,104.43626068005935,4,3,0,1,75.0,0.0,25.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.5,0.3184,153,15,7,"[1, 2, 3]",0.0357,0.016261,0.000927,0.003666,0.011545,0.000463,0.001222,0.005773,0.002323,611.4344770052209,758.8664939463504,24.112480157030898,16.25837719681064,161.22745820871535,7,2,3,2,28.57,42.86,28.57,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.5,0.4028,264,15,5,"[1, 2, 3]",0.0231,0.006671,0.00059,0.0029,0.003049,0.000295,0.00145,0.003049,0.001334,611.4344770052209,684.9270118335885,12.019691004068145,3.609446976173416,119.4779530998465,5,2,2,1,40.0,40.0,20.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.5,0.4371,375,15,3,"[1, 2, 3]",0.0247,0.003865,0.000822,0.0,0.002848,0.000411,0.0,0.002848,0.001288,611.4344770052209,669.0251799153128,9.418949221209884,9.877551803553743,121.94091105755315,3,2,0,1,66.67,0.0,33.33,0,0.0,50,0,1,13.75,0,0.0,False,True,False,UNKNOWN
p01,0.4,0.5,0.6226,486,15,3,"[1, 2, 3]",0.0227,0.0041,0.000184,0.0,0.003801,0.000184,0.0,0.0019,0.001367,611.4344770052209,656.65064918449,7.395096920398729,1.9104497805494418,102.23556477777366,3,1,0,2,33.33,0.0,66.67,1,2.0,50,1,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.75,0.7985,42,15,1,"[1, 2, 3]",0.016,0.000265,0.000177,0.0,0.0,0.000177,0.0,0.0,0.000265,611.4344770052209,617.0498974301199,0.9184010120598946,0.0,81.39748942203258,1,1,0,0,100.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.75,0.8206,153,15,1,"[1, 2, 3]",0.0192,0.002136,0.0,0.0,0.002025,0.0,0.0,0.002025,0.002136,611.4344770052209,657.2453914629697,7.4923669142977785,9.954139139299983,107.70954342201007,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.75,0.6601,264,15,3,"[1, 2, 3]",0.0199,0.000608,0.000502,0.0,0.0,0.000167,0.0,0.0,0.000203,611.4344770052209,645.6044899136457,5.5884995356801035,0.0,108.89648522883857,3,3,0,0,100.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.75,0.7084,375,15,2,"[1, 2, 3]",0.0211,0.003085,0.0,0.000779,0.002132,0.0,0.000779,0.002132,0.001542,611.4344770052209,632.4539885591801,3.4377373773412074,24.21726017808443,89.06281394923167,2,0,1,1,0.0,50.0,50.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.4,0.75,0.7217,486,15,2,"[1, 2, 3]",0.0179,0.001727,0.000196,0.001447,0.0,0.000196,0.001447,0.0,0.000864,611.4344770052209,626.1682147973028,2.4097001962086124,0.0,81.39748942203258,2,1,1,0,50.0,50.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.25,0.3921,42,2,1,"[1, 2, 3]",0.0182,0.000292,0.0,0.000278,0.0,0.0,0.000278,0.0,0.000292,504.8983230265875,506.37623525876114,0.2927148229200645,6.388412500659868,108.17151038656633,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.25,0.105,153,2,2,"[1, 2, 3]",0.0236,0.006283,0.0,0.00196,0.004324,0.0,0.00196,0.004324,0.003142,504.8983230265875,527.9517265549448,4.5659497124420705,0.0,120.00923063495064,2,0,1,1,0.0,50.0,50.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.25,0.2317,264,2,1,"[1, 2, 3]",0.0194,0.000993,0.0,0.000973,0.0,0.0,0.000973,0.0,0.000993,504.8983230265875,507.9688232982377,0.6081422994721453,0.0,108.17151038656633,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.25,0.0933,375,2,2,"[1, 2, 3]",0.0183,0.00111,0.00111,0.0,0.0,0.000555,0.0,0.0,0.000555,504.8983230265875,524.4101280889771,3.864501855626511,0.0,108.17151038656633,2,2,0,0,100.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.25,0.1175,486,2,2,"[1, 2, 3]",0.028,0.008802,0.0,0.008802,0.0,0.0,0.004401,0.0,0.004401,504.8983230265875,522.4624300203302,3.4787414005369555,0.0,111.26950229359646,2,0,2,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.5,0.7042,42,2,0,"[1, 2, 3]",0.0208,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.5,0.2283,153,2,0,"[1, 2, 3]",0.0163,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.5,0.6492,264,2,0,"[1, 2, 3]",0.0164,1.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.5,0.3242,375,2,0,"[1, 2, 3]",0.0175,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.5,0.2858,486,2,2,"[1, 2, 3]",0.0209,0.003791,0.0,0.001703,0.002088,0.0,0.001703,0.002088,0.001895,504.8983230265875,529.4275541633482,4.858251655446479,15.843338485638249,111.627122821359,2,0,1,1,0.0,50.0,50.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.75,0.9325,42,2,0,"[1, 2, 3]",0.0177,5.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.75,0.2908,153,2,0,"[1, 2, 3]",0.0156,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.75,0.9725,264,2,0,"[1, 2, 3]",0.0184,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.75,0.4492,375,2,0,"[1, 2, 3]",0.0161,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.05,0.75,0.6592,486,2,0,"[1, 2, 3]",0.0165,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8983230265875,504.8983230265875,0.0,0.0,108.17151038656633,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.1,0.25,0.254,42,4,3,"[1, 2, 3]",0.0174,0.002167,0.001914,0.000243,0.0,0.000957,0.000243,0.0,0.000722,504.8983230265875,525.7318994823024,4.126291474059393,6.388412500659868,117.09077733849438,3,2,1,0,66.67,33.33,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.1,0.25,0.0858,153,4,4,"[1, 2, 3]",0.0226,0.008732,0.001831,0.002028,0.004874,0.000915,0.002028,0.004874,0.002183,504.8983230265875,546.3451223243412,8.208939782034328,0.0,124.12850888434957,4,2,1,1,50.0,25.0,25.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p02,0.1,0.25,0.2429,264,4,1,"[1, 2, 3]",0.019,0.000794,0.0,0.000751,0.0,0.0,0.000751,0.0,0.000794,504.8983230265875,507.9688232982377,0.6081422994721453,0.0,108.17151038656633,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
